Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
rec_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rec_num] >= 2,,,,,,
rec_n2_su_month,patient_information,,text,Months Used,,,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_sp_months,patient_information,,text,Months Used,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n3_name,patient_information,,text,Name of device #3,,,,,,,[rec_num] >= 3,,,,,,
rec_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rec_num] >= 3,,,,,,
rec_n3_su_month,patient_information,,text,Months Used,,,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_sp_months,patient_information,,text,Months Used,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rec_n3_t(3)] = '1',,,,,,
rec_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[rec_n3_t(3)] = '1',,,,,,
rec_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[rec_n3_t(3)] = '1',,,,,,
care_num,patient_information,SELF-CARE,text,Self-Care devices used (up to 3),,,number,0,3,,,,,,,,
care_n1_name,patient_information,,text,Name of device #1,,,,,,,[care_num] >= 1,,,,,,
care_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[care_num] >= 1,,,,,,
care_n1_su_month,patient_information,,text,Months Used,,,,,,,[care_n1_t(1)] = '1',,,,,,
care_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[care_n1_t(1)] = '1',,,,,,
care_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n1_t(1)] = '1',,,,,,
care_n1_sp_months,patient_information,,text,Months Used,,,,,,,[care_n1_t(2)] = '1',,,,,,
care_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[care_n1_t(2)] = '1',,,,,,
care_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n1_t(2)] = '1',,,,,,
care_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[care_n1_t(2)] = '1',,,,,,
care_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[care_n1_t(3)] = '1',,,,,,
care_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[care_n1_t(3)] = '1',,,,,,
care_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[care_n1_t(3)] = '1',,,,,,
care_n2_name,patient_information,,text,Name of device #2,,,,,,,[care_num] >= 2,,,,,,
care_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[care_num] >= 2,,,,,,
care_n2_su_month,patient_information,,text,Months Used,,,,,,,[care_n2_t(1)] = '1',,,,,,
care_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[care_n2_t(1)] = '1',,,,,,
care_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n2_t(1)] = '1',,,,,,
care_n2_sp_months,patient_information,,text,Months Used,,,,,,,[care_n2_t(2)] = '1',,,,,,
care_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[care_n2_t(2)] = '1',,,,,,
care_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n2_t(2)] = '1',,,,,,
care_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[care_n2_t(2)] = '1',,,,,,
care_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[care_n2_t(3)] = '1',,,,,,
care_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[care_n2_t(3)] = '1',,,,,,
care_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[care_n2_t(3)] = '1',,,,,,
care_n3_name,patient_information,,text,Name of device #3,,,,,,,[care_num] >= 3,,,,,,
care_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[care_num] >= 3,,,,,,
care_n3_su_month,patient_information,,text,Months Used,,,,,,,[care_n3_t(1)] = '1',,,,,,
care_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[care_n3_t(1)] = '1',,,,,,
care_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n3_t(1)] = '1',,,,,,
care_n3_sp_months,patient_information,,text,Months Used,,,,,,,[care_n3_t(2)] = '1',,,,,,
care_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[care_n3_t(2)] = '1',,,,,,
care_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[care_n3_t(2)] = '1',,,,,,
care_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[care_n3_t(2)] = '1',,,,,,
care_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[care_n3_t(3)] = '1',,,,,,
care_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[care_n3_t(3)] = '1',,,,,,
care_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[care_n3_t(3)] = '1',,,,,,
emp_num,patient_information,EMPLOYMENT,text,Employment devices used (up to 3),,,number,0,3,,,,,,,,
emp_n1_name,patient_information,,text,Name of device #1,,,,,,,[emp_num] >= 1,,,,,,
emp_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[emp_num] >= 1,,,,,,
emp_n1_su_month,patient_information,,text,Months Used,,,,,,,[emp_n1_t(1)] = '1',,,,,,
emp_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n1_t(1)] = '1',,,,,,
emp_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n1_t(1)] = '1',,,,,,
emp_n1_sp_months,patient_information,,text,Months Used,,,,,,,[emp_n1_t(2)] = '1',,,,,,
emp_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n1_t(2)] = '1',,,,,,
emp_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n1_t(2)] = '1',,,,,,
emp_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[emp_n1_t(2)] = '1',,,,,,
emp_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[emp_n1_t(3)] = '1',,,,,,
emp_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[emp_n1_t(3)] = '1',,,,,,
emp_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[emp_n1_t(3)] = '1',,,,,,
emp_n2_name,patient_information,,text,Name of device #2,,,,,,,[emp_num] >= 2,,,,,,
emp_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[emp_num] >= 2,,,,,,
emp_n2_su_month,patient_information,,text,Months Used,,,,,,,[emp_n2_t(1)] = '1',,,,,,
emp_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n2_t(1)] = '1',,,,,,
emp_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n2_t(1)] = '1',,,,,,
emp_n2_sp_months,patient_information,,text,Months Used,,,,,,,[emp_n2_t(2)] = '1',,,,,,
emp_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n2_t(2)] = '1',,,,,,
emp_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n2_t(2)] = '1',,,,,,
emp_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[emp_n2_t(2)] = '1',,,,,,
emp_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[emp_n2_t(3)] = '1',,,,,,
emp_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[emp_n2_t(3)] = '1',,,,,,
emp_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[emp_n2_t(3)] = '1',,,,,,
emp_n3_name,patient_information,,text,Name of device #3,,,,,,,[emp_num] >= 3,,,,,,
emp_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[emp_num] >= 3,,,,,,
emp_n3_su_month,patient_information,,text,Months Used,,,,,,,[emp_n3_t(1)] = '1',,,,,,
emp_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n3_t(1)] = '1',,,,,,
emp_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n3_t(1)] = '1',,,,,,
emp_n3_sp_months,patient_information,,text,Months Used,,,,,,,[emp_n3_t(2)] = '1',,,,,,
emp_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[emp_n3_t(2)] = '1',,,,,,
emp_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[emp_n3_t(2)] = '1',,,,,,
emp_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[emp_n3_t(2)] = '1',,,,,,
emp_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[emp_n3_t(3)] = '1',,,,,,
emp_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[emp_n3_t(3)] = '1',,,,,,
emp_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[emp_n3_t(3)] = '1',,,,,,
think_num,patient_information,"THINKING, UNDERSTANDING, REMEMBERING",text,"Thinking, Understanding, Remembering devices used (up to 3)",,,number,0,3,,,,,,,,
think_n1_name,patient_information,,text,Name of device #1,,,,,,,[think_num] >= 1,,,,,,
think_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[think_num] >= 1,,,,,,
think_n1_su_month,patient_information,,text,Months Used,,,,,,,[think_n1_t(1)] = '1',,,,,,
think_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[think_n1_t(1)] = '1',,,,,,
think_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n1_t(1)] = '1',,,,,,
think_n1_sp_months,patient_information,,text,Months Used,,,,,,,[think_n1_t(2)] = '1',,,,,,
think_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[think_n1_t(2)] = '1',,,,,,
think_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n1_t(2)] = '1',,,,,,
think_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[think_n1_t(2)] = '1',,,,,,
think_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[think_n1_t(3)] = '1',,,,,,
think_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[think_n1_t(3)] = '1',,,,,,
think_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[think_n1_t(3)] = '1',,,,,,
think_n2_name,patient_information,,text,Name of device #2,,,,,,,[think_num] >= 2,,,,,,
think_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[think_num] >= 2,,,,,,
think_n2_su_month,patient_information,,text,Months Used,,,,,,,[think_n2_t(1)] = '1',,,,,,
think_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[think_n2_t(1)] = '1',,,,,,
think_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n2_t(1)] = '1',,,,,,
think_n2_sp_months,patient_information,,text,Months Used,,,,,,,[think_n2_t(2)] = '1',,,,,,
think_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[think_n2_t(2)] = '1',,,,,,
think_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n2_t(2)] = '1',,,,,,
think_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[think_n2_t(2)] = '1',,,,,,
think_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[think_n2_t(3)] = '1',,,,,,
think_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[think_n2_t(3)] = '1',,,,,,
think_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[think_n2_t(3)] = '1',,,,,,
think_n3_name,patient_information,,text,Name of device #3,,,,,,,[think_num] >= 3,,,,,,
think_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[think_num] >= 3,,,,,,
think_n3_su_month,patient_information,,text,Months Used,,,,,,,[think_n3_t(1)] = '1',,,,,,
think_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[think_n3_t(1)] = '1',,,,,,
think_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n3_t(1)] = '1',,,,,,
think_n3_sp_months,patient_information,,text,Months Used,,,,,,,[think_n3_t(2)] = '1',,,,,,
think_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[think_n3_t(2)] = '1',,,,,,
think_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[think_n3_t(2)] = '1',,,,,,
think_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[think_n3_t(2)] = '1',,,,,,
think_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[think_n3_t(3)] = '1',,,,,,
think_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[think_n3_t(3)] = '1',,,,,,
think_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[think_n3_t(3)] = '1',,,,,,
atdpa_goals,patient_information,"ATDPA: For a BCI, indicate the three items that are most important with an 'x'. Rate how a BCI performs on each question with the following scale. 5 = All the time (100% of the time), 4 = Often (around 75% of the time), 3 = Half the time, 2 = Sometimes (around 25% of the time), 1 = Not at all (0% of the time), 0 = Not applicable.",checkbox,Device will help achieve goals,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_benefit,patient_information,,checkbox,Will benefit,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_confident,patient_information,,checkbox,Confident to use,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_secure,patient_information,,checkbox,Feel secure,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_routine,patient_information,,checkbox,Fit well in routine,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_stamina,patient_information,,checkbox,Have stamina to use,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_support,patient_information,,checkbox,Have required support,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_fit,patient_information,,checkbox,Will physically fit in environment,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_comfort_family,patient_information,,checkbox,Will feel comfortable around family,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_comfort_friends,patient_information,,checkbox,Will feel comfortable around friends,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_comfort_work,patient_information,,checkbox,Will feel comfortable around work,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
atdpa_comfort_community,patient_information,,checkbox,Will feel comfortable around community,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, x",,,,,,,,,,atdpa,,
log_date,postsession_participant_log,,text,Date Log Completed,,,date_mdy,,,,,,,,,,
log_help,postsession_participant_log,,yesno,Did this session involve the help of a member of the research team?,,,,,,,,,,,,,
log_comm,postsession_participant_log,,checkbox,How did you communicate with the research team?,"1, Online | 2, In-person | 3, Phone",,,,,,[log_help] = '1',,,,,,
log_helptype,postsession_participant_log,,checkbox,What was the nature of the help provided by the research team?,"1, Turning on the computer | 2, Using Adobe Connect | 3, Calibrating the eye tracker | 4, Applying the cap | 5, Applying the electrodes | 6, Opening BCI2000 | 7, Checking impedances | 8, Performing a P300 run | 9, Updating classifiers | 10, Clean up | 11, Other",,,,,,[log_help] = '1',,,,,,
log_helptype_other,postsession_participant_log,,notes,Specify other help given,,,,,,,[log_helptype(11)] = '1',,,,,,
log_helpnum,postsession_participant_log,,text,How many people (excluding the patient and caregiver) helped with the setup of the system today?,,,,,,,[log_help] = '0',,,,,,
log_rate_eff,postsession_participant_log,How would you rate the P300 BCI in these domains?,radio,Efficacy (did it work?),"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_rate_acc,postsession_participant_log,,radio,Accuracy,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_rate_speed,postsession_participant_log,,radio,Speed,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_rate_setup,postsession_participant_log,,radio,Ease of setup,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_rate_use,postsession_participant_log,,radio,Ease of use,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_rate_port,postsession_participant_log,,radio,Portability,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,log_rate,,
log_spellers,postsession_participant_log,,checkbox,Which types of spellers were used during the session?,"1, BCI Trainer | 2, Symbolic Speller | 3, Dual Speller | 4, Notepad Speller",,,,,,,,,,,,
log_accessories,postsession_participant_log,,checkbox,Which of the following system accessories did you use in this session? Check all that apply,"1, Text-to-speech | 2, Text prediction | 3, Prepared text",,,,,,[log_spellers(4)] = '1',,,,,,
log_conf_comp,postsession_participant_log,"<b>Caregiver</b>: At this point, how confident are you to complete the following tasks without additional guidance?",radio,Turn on the computer,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_adobe,postsession_participant_log,,radio,Log into Adobe Connect,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_eye,postsession_participant_log,,radio,Calibrate the eye tracker,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_cap,postsession_participant_log,,radio,Apply the cap,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_elec,postsession_participant_log,,radio,Apply the electrodes,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_bci2000,postsession_participant_log,,radio,Open BCI2000,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_imp,postsession_participant_log,,radio,Check impedances,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_p300,postsession_participant_log,,radio,Perform a single P300 run,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_class,postsession_participant_log,,radio,Update classifiers,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_conf_clean,postsession_participant_log,,radio,"Remove, clean, and store system","1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,log_conf,,
log_fatigue,postsession_participant_log,<b>Questions for the Patient:</b>,dropdown,Did you experience fatigue?,"1, Throughout the session | 2, On a few runs | 3, Not at all",,autocomplete,,,,,,,,,,
log_count,postsession_participant_log,,dropdown,Were you able to count all the flashes on each run?,"1, I counted them all (100%) | 2, I missed a few (75%) | 3, I counted half (50%) | 4, I counted less than half | 5, I did not count",,autocomplete,,,,,,,,,,
log_improve,postsession_participant_log,,dropdown,Did your performance improve over the session?,"1, I got much better | 2, I got better | 3, I did not notice a change | 4, I got worse | 5, I got much worse",,autocomplete,,,,,,,,,,
