Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
log_comments,postsession_participant_log,Please let us know any other comments you have.,notes,,,,,,,,,,,,,,
rlog_date,postsession_researcher_log,,text,Date Log Completed,,,date_mdy,,,,,,,,,,
rlog_help,postsession_researcher_log,,yesno,Were you involved in the BCI session today?,,,,,,,,,,,,,
rlog_comm,postsession_researcher_log,,checkbox,How did you communicate with the participant team?,"1, Online | 2, In-person | 3, Phone",,,,,,[rlog_help] = '1',,,,,,
rlog_helptype,postsession_researcher_log,,checkbox,What was the nature of the help you provided to the participant team?,"1, Turning on the computer | 2, Using Adobe Connect | 3, Calibrating the eye tracker | 4, Applying the cap | 5, Applying the electrodes | 6, Opening BCI2000 | 7, Checking impedances | 8, Performing a P300 run | 9, Updating classifiers | 10, Clean up | 11, Other",,,,,,[rlog_help] = '1',,,,,,
rlog_helpnum,postsession_researcher_log,,text,"How many people (excluding yourself, the patient and caregiver) helped with the setup of the system today?",,,,,,,[rlog_help] = '1',,,,,,
rlog_time_comp,postsession_researcher_log,How long (in minutes) did it take to:,text,Turn on computer?,,,,,,,,,,,,,
rlog_time_adobe,postsession_researcher_log,,text,Log into adobe connect?,,,,,,,,,,,,,
rlog_time_eye,postsession_researcher_log,,text,Calibrate the eye tracker?,,,,,,,,,,,,,
rlog_time_cap,postsession_researcher_log,,text,Apply the cap?,,,,,,,,,,,,,
rlog_time_elec,postsession_researcher_log,,text,Apply the electrodes?,,,,,,,,,,,,,
rlog_time_bci2000,postsession_researcher_log,,text,Open BCI2000?,,,,,,,,,,,,,
rlog_time_imp,postsession_researcher_log,,text,Check impedances?,,,,,,,,,,,,,
rlog_time_p300,postsession_researcher_log,,text,Perform a single P300 run?,,,,,,,,,,,,,
rlog_time_class,postsession_researcher_log,,text,Update the classifiers?,,,,,,,,,,,,,
rlog_time_clean,postsession_researcher_log,,text,"Remove, clean, and store the system?",,,,,,,,,,,,,
rlog_conf_comp,postsession_researcher_log,"At this point, how confident are you in the participant team's ability to complete the following tasks without additional guidance?",radio,Turn on the computer,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_adobe,postsession_researcher_log,,radio,Log into Adobe Connect,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_eye,postsession_researcher_log,,radio,Calibrate the eye tracker,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_cap,postsession_researcher_log,,radio,Apply the cap,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_elec,postsession_researcher_log,,radio,Apply the electrodes,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_bci2000,postsession_researcher_log,,radio,Open BCI2000,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_imp,postsession_researcher_log,,radio,Check impedances,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_p300,postsession_researcher_log,,radio,Perform a single P300 run,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_class,postsession_researcher_log,,radio,Update classifiers,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_conf_clean,postsession_researcher_log,,radio,"Remove, clean, and store system","1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,rlog_conf,,
rlog_spellers,postsession_researcher_log,,checkbox,Which types of spellers were used during the session?,"1, BCI Trainer | 2, Symbolic Speller | 3, Dual Speller | 4, Notepad Speller",,,,,,,,,,,,
rlog_accessories,postsession_researcher_log,,checkbox,Were any of the following system accessories used in this session? Check all that apply,"1, Text-to-speech | 2, Text prediction | 3, Prepared text",,,,,,[rlog_spellers(4)] = '1',,,,,,
rlog_trigger,postsession_researcher_log,,descriptive,"<font size=""3"" color=""red"">When completed to this point, submit this form to trigger the participant survey. Finish the remainder of the form later.</font>
",,,,,,,,,,,,,
rlog_datacheck_eye,postsession_researcher_log,Review and upload the participant team's data for this session. Are the following files present?,radio,Eye tracker calibration file,"1, Yes | 2, No",,,,,,,,,,rlog_datacheck,,
rlog_datacheck_imp,postsession_researcher_log,,radio,Impedance file,"1, Yes | 2, No",,,,,,,,,,rlog_datacheck,,
rlog_datacheck_p300,postsession_researcher_log,,radio,P300 runs,"1, Yes | 2, No",,,,,,,,,,rlog_datacheck,,
rlog_datacheck_class,postsession_researcher_log,,radio,Classifiers and filters,"1, Yes | 2, No",,,,,,,,,,rlog_datacheck,,
rlog_datacheck_prep,postsession_researcher_log,,radio,Prepared text library,"1, Yes | 2, No",,,,,,,,,,rlog_datacheck,,
rlog_data,postsession_researcher_log,,file,Upload the data from this session.,,,,,,,,,,,,,
rlog_comments,postsession_researcher_log,,notes,Additional comments,,,,,,,,,,,,,
nurse_id,clinical_interaction,,text,Nurse Clinician Code,,,,,,,,,,,,,
int_date,clinical_interaction,,text,Date and Time of Clinical Interaction,,,datetime_mdy,,,,,,,,,,
int_time,clinical_interaction,,text,How long was the interaction (in minutes)?,,,,,,,,,,,,,
assess_date,participant_assessment,,text,Date Log Completed,,,date_mdy,,,,,,,,,,
assess_conf_comp,participant_assessment,"Caregiver: At the end of the study, how confident are you in completing the following tasks without additional guidance?",radio,Turn on the computer,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_adobe,participant_assessment,,radio,Log into Adobe Connect,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_eye,participant_assessment,,radio,Calibrate the eye tracker,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_bci2000,participant_assessment,,radio,Open BCI2000,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_cap,participant_assessment,,radio,Apply the cap,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_elec,participant_assessment,,radio,Apply the electrodes,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_imp,participant_assessment,,radio,Check impedances,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_p300,participant_assessment,,radio,Perform a single P300 run,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_class,participant_assessment,,radio,Update classifiers,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_clean,participant_assessment,,radio,"Remove, clean, and store system","1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,assess_conf,,
assess_conf_alone,participant_assessment,,radio,Caregiver: How confident are you to be able to assist in the operation of the entire BCI system without additional help?,"1, Very confident | 2, Somewhat confident | 3, A little confident | 4, Not at all confident",,,,,,,,,,,,
assess_comf_cap,participant_assessment,Patient: How physically comfortable were each of these procedures?,radio,Placement of the cap,"1, Very comfortable | 2, Comfortable| 3, Uncomfortable| 4, Very uncomfortable",,,,,,,,,,assess_comf,,
assess_comf_elec,participant_assessment,,radio,Application of the electrodes,"1, Very comfortable | 2, Comfortable| 3, Uncomfortable| 4, Very uncomfortable",,,,,,,,,,assess_comf,,
assess_comf_eye,participant_assessment,,radio,Calibration and use of the eye tracker,"1, Very comfortable | 2, Comfortable| 3, Uncomfortable| 4, Very uncomfortable",,,,,,,,,,assess_comf,,
assess_comf_p300,participant_assessment,,radio,Use of the P300 spelling program,"1, Very comfortable | 2, Comfortable| 3, Uncomfortable| 4, Very uncomfortable",,,,,,,,,,assess_comf,,
assess_rate_eff,participant_assessment,Participant team: How would you rate the P300 BCI in these domains?,radio,Efficacy (did it work?),"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_rate_acc,participant_assessment,,radio,Accuracy,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_rate_speed,participant_assessment,,radio,Speed,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_rate_setup,participant_assessment,,radio,Ease of setup,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_rate_use,participant_assessment,,radio,Ease of use,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_rate_port,participant_assessment,,radio,Portability,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,assess_rate,,
assess_comm_none,participant_assessment,Was the patient able to communicate their questions or concerns...,radio,...without any assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_comm,,
assess_comm_current,participant_assessment,,radio,...with their current assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_comm,,
assess_comm_bci,participant_assessment,,radio,...with the P300 BCI system?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_comm,,
assess_time_none,participant_assessment,Was the patient able to answer the questions of the nurse in a timely manner...,radio,...without any assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_time,,
assess_time_current,participant_assessment,,radio,...with their current assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_time,,
assess_time_bci,participant_assessment,,radio,...with the P300 BCI system?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,assess_time,,
assess_time_comp,participant_assessment,"During your last few sessions, approximate how long it took to complete each of these system tasks.",text,Turn on the computer,,,,,,,,,,,,,
assess_time_adobe,participant_assessment,,text,Log into Adobe Connect,,,,,,,,,,,,,
assess_time_eye,participant_assessment,,text,Calibrate the eye tracker,,,,,,,,,,,,,
assess_time_bci2000,participant_assessment,,text,Open BCI2000,,,,,,,,,,,,,
assess_time_cap,participant_assessment,,text,Apply the cap,,,,,,,,,,,,,
assess_time_elec,participant_assessment,,text,Apply the electrodes,,,,,,,,,,,,,
assess_time_imp,participant_assessment,,text,Check impedances,,,,,,,,,,,,,
assess_time_p300,participant_assessment,,text,Perform a single P300 run,,,,,,,,,,,,,
assess_time_class,participant_assessment,,text,Update classifiers,,,,,,,,,,,,,
assess_time_clean,participant_assessment,,text,"Remove, clean, and store system",,,,,,,,,,,,,
assess_timea_comp,participant_assessment,Rate the appropriateness of the time spent on each of these tasks.,radio,Turn on the computer,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_adobe,participant_assessment,,radio,Log into Adobe Connect,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_eye,participant_assessment,,radio,Calibrate the eye tracker,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_bci2000,participant_assessment,,radio,Open BCI2000,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_cap,participant_assessment,,radio,Apply the cap,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_elec,participant_assessment,,radio,Apply the electrodes,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_imp,participant_assessment,,radio,Check impedances,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_p300,participant_assessment,,radio,Perform a single P300 run,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_class,participant_assessment,,radio,Update classifiers,"1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_timea_clean,participant_assessment,,radio,"Remove, clean, and store system","1, Way too long | 2, Too long | 3, Appropriate | 4, Too short | 5, Way too short",,,,,,,,,,assess_timea,,
assess_notes_comp,participant_assessment,"What related to each task would you change to improve teleBCI? If nothing, leave blank.",notes,Turn on the computer,,,,,,,,,,,,,
assess_notes_adobe,participant_assessment,,notes,Log into Adobe Connect,,,,,,,,,,,,,
assess_notes_eye,participant_assessment,,notes,Calibrate the eye tracker,,,,,,,,,,,,,
assess_notes_bci2000,participant_assessment,,notes,Open BCI2000,,,,,,,,,,,,,
assess_notes_cap,participant_assessment,,notes,Apply the cap,,,,,,,,,,,,,
assess_notes_elec,participant_assessment,,notes,Apply the electrodes,,,,,,,,,,,,,
assess_notes_imp,participant_assessment,,notes,Check impedances,,,,,,,,,,,,,
assess_notes_p300,participant_assessment,,notes,Perform a single P300 run,,,,,,,,,,,,,
assess_notes_class,participant_assessment,,notes,Update classifiers,,,,,,,,,,,,,
assess_notes_clean,participant_assessment,,notes,"Remove, clean, and store system",,,,,,,,,,,,,
assess_acc_text,participant_assessment,Did you use any of the following system accessories during the session?,radio,Text-to-speech,"1, Yes | 2, No",,,,,,,,,,assess_acc,,
assess_acc_pred,participant_assessment,,radio,Word prediction,"1, Yes | 2, No",,,,,,,,,,assess_acc,,
assess_acc_symb,participant_assessment,,radio,Symbolic communication,"1, Yes | 2, No",,,,,,,,,,assess_acc,,
assess_acc_prep,participant_assessment,,radio,Prepared text,"1, Yes | 2, No",,,,,,,,,,assess_acc,,
access_acc_help_text,participant_assessment,Were these system accessories helpful to the use of the interface?,radio,Text-to-speech,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[assess_acc_text] = '1',,,,access_acc_help,,
access_acc_help_pred,participant_assessment,,radio,Word prediction,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[assess_acc_pred] = '1',,,,access_acc_help,,
access_acc_help_symb,participant_assessment,,radio,Symbolic communication,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[assess_acc_symb] = '1',,,,access_acc_help,,
access_acc_help_prep,participant_assessment,,radio,Prepared text,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[assess_acc_prep] = '1',,,,access_acc_help,,
assess_comments,participant_assessment, ,notes,Please let us know any other comments you have.,,,,,,,,,,,,,
nassess_date,nurse_assessment,,text,Date Log Completed,,,date_mdy,,,,,,,,,,
nassess_acc_text,nurse_assessment,Did the patient use any of the following system accessories during the session?,radio,Text-to-speech,"1, Yes | 2, No",,,,,,,,,,nassess_acc,,
nassess_acc_pred,nurse_assessment,,radio,Word prediction,"1, Yes | 2, No",,,,,,,,,,nassess_acc,,
nassess_acc_symb,nurse_assessment,,radio,Symbolic communication,"1, Yes | 2, No",,,,,,,,,,nassess_acc,,
nassess_acc_prep,nurse_assessment,,radio,Prepared text,"1, Yes | 2, No",,,,,,,,,,nassess_acc,,
nassess_acc_help_text,nurse_assessment,Were these system accessories helpful to the use of the interface?,radio,Text-to-speech,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[nassess_acc_text] = '1',,,,naccess_acc_help,,
nassess_acc_help_pred,nurse_assessment,,radio,Word prediction,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[nassess_acc_pred] = '1',,,,naccess_acc_help,,
nassess_acc_help_symb,nurse_assessment,,radio,Symbolic communication,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[nassess_acc_symb] = '1',,,,naccess_acc_help,,
nassess_acc_help_prep,nurse_assessment,,radio,Prepared text,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[nassess_acc_prep] = '1',,,,naccess_acc_help,,
nassess_comm_none,nurse_assessment,Was the patient able to communicate their questions or concerns...,radio,...without any assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_comm,,
nassess_comm_current,nurse_assessment,,radio,...with their current assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_comm,,
nassess_comm_bci,nurse_assessment,,radio,...with the P300 BCI system?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_comm,,
nassess_time_none,nurse_assessment,Was the patient able to answer your questions in a timely manner...,radio,...without any assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_time,,
nassess_time_current,nurse_assessment,,radio,...with their current assistive devices?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_time,,
nassess_time_bci,nurse_assessment,,radio,...with the P300 BCI system?,"1, Very well | 2, Well | 3, Poorly | 4, Very poorly | 5, Don't know",,,,,,,,,,nassess_time,,
nassess_rate_eff,nurse_assessment,How would you rate the P300 BCI in these domains?,radio,Efficacy (did it work?),"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,nassess_rate,,
nassess_rate_acc,nurse_assessment,,radio,Accuracy,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,nassess_rate,,
nassess_rate_speed,nurse_assessment,,radio,Speed,"1, Very high | 2, High | 3, Moderate | 4, Low | 5, Very low",,,,,,,,,,nassess_rate,,
nassess_comments,nurse_assessment,,notes,Please let us know any other comments you have.,,,,,,,,,,,,,
complete_study,completion_data,This form is to be filled out by study personnel.,yesno,Has patient completed study?,,,,,,,,,,,,,
withdraw_date,completion_data,,text,Put a date if patient withdrew study,,,date_ymd,,,,,,,,,,
withdraw_reason,completion_data,,dropdown,Reason patient withdrew from study,"0, Non-compliance | 1, Did not wish to continue in study | 2, Could not tolerate the supplement | 3, Hospitalization | 4, Other",,,,,,,,,,,,
date_finalvisit,completion_data,,text,Date of Final Study Visit,,,date_mdy,,,,,,,,,,
study_comments,completion_data,,notes,Comments,,,,,,,,,,,,,
extension_recommendation,completion_data,Optional Study Extension,yesno,Has the participant team been recommended for the study extension?,,,,,,,,,,,,,
extension_choice,completion_data,,yesno,Has the participant team opted to extend the study?,,,,,,,[extension_recommendation] = '1',,,,,,
extension_date,completion_data,,text,Date of extension initiation,,,date_mdy,,,,[extension_choice] = '1',,,,,,
extension_comments,completion_data,,notes,Use this space to keep track of all interactions with the participant team during the study extension.  Indicate the medium and content of the interaction,,,,,,,[extension_choice] = '1',,,,,,
ext_data,completion_data,,file,Upload session data from extension period,,,,,,,,,,,,,
extension_termination,completion_data,,text,Date of extension termination,,,datetime_mdy,,,,[extension_choice] = '1',,,,,,
extension_termination_r,completion_data,,text,Reason for extension termination,,,,,,,[extension_choice] = '1',,,,,,
ext_date,extension_check,,text,Date Log Completed,,,date_mdy,,,,,,,,,,
ext_uses,extension_check,,text,Roughly how many times in the last month have  you used the BCI system?,,,,,,,,,,,,,
ext_other_help,extension_check,,yesno,"During this time, has anyone else learned how to apply the cap to the patient's head or setup the computer component of the BCI?",,,,,,,,,,,,,
ext_continue,extension_check,,yesno,Are you interested in continuing to use the BCI system in your home?,,,,,,,,,,,,,
ext_acc_text,extension_check,Did you use any of the following system accessories during the session?,radio,Text-to-speech,"1, Yes | 2, No",,,,,,,,,,ext_acc,,
ext_acc_pred,extension_check,,radio,Word prediction,"1, Yes | 2, No",,,,,,,,,,ext_acc,,
ext_acc_symb,extension_check,,radio,Symbolic communication,"1, Yes | 2, No",,,,,,,,,,ext_acc,,
ext_acc_prep,extension_check,,radio,Prepared text,"1, Yes | 2, No",,,,,,,,,,ext_acc,,
ext_acc_help_text,extension_check,Were these system accessories helpful to the use of the interface?,radio,Text-to-speech,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[ext_acc_text] = '1',,,,ext_acc_help,,
ext_acc_help_pred,extension_check,,radio,Word prediction,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[ext_acc_pred] = '1',,,,ext_acc_help,,
ext_acc_help_symb,extension_check,,radio,Symbolic communication,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[ext_acc_symb] = '1',,,,ext_acc_help,,
ext_acc_help_prep,extension_check,,radio,Prepared text,"1, Very helpful | 2, Somewhat helpful | 3, Somewhat unhelpful | 4, Very unhelpful",,,,,,[ext_acc_prep] = '1',,,,ext_acc_help,,
ext_comments,extension_check,,notes,Please let us know any other comments you have.,,,,,,,,,,,,,
